metric,metric_value,metric_type
abox_axiom_count,4772,single_value
abox_axiom_count_incl,4772,single_value
abox_nominals,false,single_value
abox_nominals_incl,false,single_value
annotation_property_count,13,single_value
annotation_property_count_incl,13,single_value
assert_n_subclass_avg,1.0588235294117647,single_value
assert_n_subclass_avg_incl,1.0588235294117647,single_value
assert_n_superclass_avg,1.0901960784313725,single_value
assert_n_superclass_avg_incl,1.0901960784313725,single_value
ax_complexrhs_count,0,single_value
ax_complexrhs_count_incl,0,single_value
axiom_count,8604,single_value
axiom_count_incl,8604,single_value
axiom_length_max,5,single_value
axiom_length_max_incl,5,single_value
axiom_type_count,AnnotationAssertion 2551,map_value
axiom_type_count,ClassAssertion 663,map_value
axiom_type_count,DataPropertyAssertion 351,map_value
axiom_type_count,Declaration 582,map_value
axiom_type_count,ObjectPropertyAssertion 3758,map_value
axiom_type_count,ObjectPropertyDomain 72,map_value
axiom_type_count,ObjectPropertyRange 87,map_value
axiom_type_count,SubClassOf 540,map_value
axiom_type_count_incl,AnnotationAssertion 2551,map_value
axiom_type_count_incl,ClassAssertion 663,map_value
axiom_type_count_incl,DataPropertyAssertion 351,map_value
axiom_type_count_incl,Declaration 582,map_value
axiom_type_count_incl,ObjectPropertyAssertion 3758,map_value
axiom_type_count_incl,ObjectPropertyDomain 72,map_value
axiom_type_count_incl,ObjectPropertyRange 87,map_value
axiom_type_count_incl,SubClassOf 540,map_value
axiom_types,AnnotationAssertion,list_value
axiom_types,ClassAssertion,list_value
axiom_types,DataPropertyAssertion,list_value
axiom_types,Declaration,list_value
axiom_types,ObjectPropertyAssertion,list_value
axiom_types,ObjectPropertyDomain,list_value
axiom_types,ObjectPropertyRange,list_value
axiom_types,SubClassOf,list_value
axiom_types_incl,AnnotationAssertion,list_value
axiom_types_incl,ClassAssertion,list_value
axiom_types_incl,DataPropertyAssertion,list_value
axiom_types_incl,Declaration,list_value
axiom_types_incl,ObjectPropertyAssertion,list_value
axiom_types_incl,ObjectPropertyDomain,list_value
axiom_types_incl,ObjectPropertyRange,list_value
axiom_types_incl,SubClassOf,list_value
certain_cycle,false,single_value
certain_cycle_incl,false,single_value
class_count,510,single_value
class_count_incl,510,single_value
class_expression_count,Class 2382,map_value
class_expression_count_incl,Class 2382,map_value
class_sgl_subcl_count,34,single_value
class_sgl_subcl_count_incl,34,single_value
constructs,AL,list_value
constructs,D,list_value
constructs_incl,AL,list_value
constructs_incl,D,list_value
curie_map,rdf http://www.w3.org/1999/02/22-rdf-syntax-ns#,map_value
curie_map,rdfs http://www.w3.org/2000/01/rdf-schema#,map_value
curie_map,xsd http://www.w3.org/2001/XMLSchema#,map_value
dataproperty_count,79,single_value
dataproperty_count_incl,79,single_value
datatypes_axiom_count,RDF_PLAIN_LITERAL 157,map_value
datatypes_axiom_count,XSD_ANY_URI 189,map_value
datatypes_axiom_count,XSD_INTEGER 5,map_value
datatypes_axiom_count_incl,RDF_PLAIN_LITERAL 157,map_value
datatypes_axiom_count_incl,XSD_ANY_URI 189,map_value
datatypes_axiom_count_incl,XSD_INTEGER 5,map_value
datatypes_builtin,RDF_PLAIN_LITERAL,list_value
datatypes_builtin,XSD_ANY_URI,list_value
datatypes_builtin,XSD_INTEGER,list_value
datatypes_builtin_incl,RDF_PLAIN_LITERAL,list_value
datatypes_builtin_incl,XSD_ANY_URI,list_value
datatypes_builtin_incl,XSD_INTEGER,list_value
datatypes_count,3,single_value
datatypes_count_incl,3,single_value
dt_builtin_count,3,single_value
dt_builtin_count_incl,3,single_value
dt_notbuiltin_count,0,single_value
dt_notbuiltin_count_incl,0,single_value
expressivity,AL(D),single_value
expressivity_incl,AL(D),single_value
gci_count,0,single_value
gci_count_incl,0,single_value
gci_hidden_count,0,single_value
gci_hidden_count_incl,0,single_value
individual_count,611,single_value
individual_count_incl,611,single_value
instance_per_class_avg,1.3,single_value
instance_per_class_avg_incl,1.3,single_value
logical_axiom_count,5471,single_value
logical_axiom_count_incl,5471,single_value
most_freq_concept,https://project-haystack.org/def/ph/3.9.12#output,single_value
most_freq_concept_incl,https://project-haystack.org/def/ph/3.9.12#output,single_value
multiple_inheritance_count,0,single_value
multiple_inheritance_count_incl,0,single_value
named_supercl_count_max,0,single_value
named_supercl_count_max_incl,0,single_value
namespace_axiom_count,prefix_unknown 12420,map_value
namespace_axiom_count,rdf 157,map_value
namespace_axiom_count,rdfs 1887,map_value
namespace_axiom_count,xsd 207,map_value
namespace_axiom_count_incl,prefix_unknown 12420,map_value
namespace_axiom_count_incl,rdf 157,map_value
namespace_axiom_count_incl,rdfs 1887,map_value
namespace_axiom_count_incl,xsd 207,map_value
namespace_entity_count,prefix_unknown 1290,map_value
namespace_entity_count,rdf 1,map_value
namespace_entity_count,rdfs 3,map_value
namespace_entity_count,xsd 9,map_value
namespace_entity_count_incl,prefix_unknown 1290,map_value
namespace_entity_count_incl,rdf 1,map_value
namespace_entity_count_incl,rdfs 3,map_value
namespace_entity_count_incl,xsd 9,map_value
obj_property_count,87,single_value
obj_property_count_incl,87,single_value
ontology_anno_count,0,single_value
ontology_iri,anonymousId,single_value
ontology_version_iri,anonymousId,single_value
owl2,true,single_value
owl2_dl,false,single_value
owl2_el,false,single_value
owl2_ql,false,single_value
owl2_rl,false,single_value
owl2dl_profile_violation,DatatypeIRIAlsoUsedAsClassIRI 192,map_value
owl2dl_profile_violation,IllegalPunning 2046,map_value
owl2dl_profile_violation,UseOfReservedVocabularyForClassIRI 15,map_value
owl2dl_profile_violation,UseOfUndeclaredAnnotationProperty 666,map_value
owl2dl_profile_violation,UseOfUndeclaredClass 107,map_value
owl2dl_profile_violation,UseOfUndeclaredObjectProperty 1695,map_value
rbox_axiom_count,0,single_value
rbox_axiom_count_incl,0,single_value
rdfs,true,single_value
rule_count,0,single_value
rule_count_incl,0,single_value
signature_entity_count,1303,single_value
signature_entity_count_incl,1303,single_value
syntax,Turtle,single_value
tautology_count,0,single_value
tautology_count_incl,0,single_value
tbox_axiom_count,699,single_value
tbox_axiom_count_incl,699,single_value
tbox_nominals,false,single_value
tbox_nominals_incl,false,single_value
tboxrbox_axiom_count,699,single_value
tboxrbox_axiom_count_incl,699,single_value
undecl_entity_count,721,single_value
undecl_entity_count_incl,721,single_value
